Index,URL,Text,Type,Domain,IsExternal
207,https://pbs.twimg.com/profile_images/1672426299065786368/9xjQVw8w_normal.jpg,,image,pbs.twimg.com,true
208,https://pbs.twimg.com/profile_images/1672426299065786368/9xjQVw8w_normal.jpg,,image,pbs.twimg.com,true
209,https://pbs.twimg.com/profile_images/1672426299065786368/9xjQVw8w_normal.jpg,,image,pbs.twimg.com,true
210,https://pbs.twimg.com/profile_images/1672426299065786368/9xjQVw8w_normal.jpg,,image,pbs.twimg.com,true
211,https://pbs.twimg.com/profile_images/1660714896898621441/b9dQIyIP_normal.jpg,,image,pbs.twimg.com,true
212,https://abs-0.twimg.com/emoji/v2/svg/1f4ab.svg,💫,image,abs-0.twimg.com,true
213,https://abs-0.twimg.com/emoji/v2/svg/1f92b.svg,🤫,image,abs-0.twimg.com,true
214,https://abs-0.twimg.com/emoji/v2/svg/1f926-1f3fe-200d-2642-fe0f.svg,🤦🏾‍♂️,image,abs-0.twimg.com,true
215,https://pbs.twimg.com/profile_images/1672426299065786368/9xjQVw8w_normal.jpg,,image,pbs.twimg.com,true
216,https://pbs.twimg.com/profile_images/1672426299065786368/9xjQVw8w_normal.jpg,,image,pbs.twimg.com,true
217,https://pbs.twimg.com/profile_images/1916063955245772800/llHC9gFH_normal.jpg,,image,pbs.twimg.com,true
218,https://pbs.twimg.com/profile_images/1837454295652065280/_aehJ-11_mini.jpg,,image,pbs.twimg.com,true
219,https://pbs.twimg.com/profile_images/1921945649014071296/AlRNL5Lt_normal.jpg,,image,pbs.twimg.com,true
220,https://pbs.twimg.com/profile_images/1837454295652065280/_aehJ-11_normal.jpg,,image,pbs.twimg.com,true
221,https://pbs.twimg.com/profile_images/1932398186989264896/XMbKT01Y_normal.jpg,,image,pbs.twimg.com,true
222,https://pbs.twimg.com/profile_images/1877657897972191232/ciHC9A4e_normal.jpg,,image,pbs.twimg.com,true
223,https://pbs.twimg.com/profile_images/1836886087534329856/24lklDNb_normal.jpg,,image,pbs.twimg.com,true
224,https://abs-0.twimg.com/emoji/v2/svg/1fae7.svg,🫧,image,abs-0.twimg.com,true
225,https://pbs.twimg.com/profile_images/289088205/stewie_normal.jpg,,image,pbs.twimg.com,true
